"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\controller\GamesController.dart", "Dart", 91, 61, 7, 159
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\controller\GamesDetailesController.dart", "Dart", 128, 0, 8, 136
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\controller\HomePageController.dart", "Dart", 217, 0, 19, 236
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\controller\TrailerController.dart", "Dart", 33, 0, 4, 37
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\Hive\HiveData.dart", "Dart", 10, 0, 2, 12
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\class\CRUD.dart", "Dart", 34, 27, 8, 69
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\class\enums.dart", "Dart", 8, 0, 1, 9
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\constant\ArgumentsNames.dart", "Dart", 16, 0, 1, 17
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\constant\Colors.dart", "Dart", 26, 1, 3, 30
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\Dialogs.dart", "Dart", 189, 0, 7, 196
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\UIFunctions.dart", "Dart", 9, 0, 2, 11
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\checkInternet.dart", "Dart", 11, 0, 2, 13
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\handleData.dart", "Dart", 8, 0, 2, 10
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\handleHiveNullState.dart", "Dart", 10, 0, 2, 12
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\function\notifications.dart", "Dart", 0, 19, 3, 22
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\middleware\middleware.dart", "Dart", 20, 0, 3, 23
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\services\intialServices.dart", "Dart", 18, 0, 7, 25
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\shared\UINumbers.dart", "Dart", 5, 0, 2, 7
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\core\theme\theme.dart", "Dart", 21, 0, 3, 24
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\data\dataSource\remote\GamesData.dart", "Dart", 9, 0, 3, 12
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\data\model\GamesModel.dart", "Dart", 97, 0, 6, 103
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\data\model\GamesModel.g.dart", "Dart", 78, 4, 8, 90
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\data\model\HomePageModel.dart", "Dart", 8, 0, 1, 9
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\main.dart", "Dart", 23, 0, 5, 28
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\routes.dart", "Dart", 53, 0, 3, 56
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\CategoriesPage.dart", "Dart", 55, 0, 4, 59
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\Favourite.dart", "Dart", 29, 0, 3, 32
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\GamesPage.dart", "Dart", 35, 0, 4, 39
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\GamesdetailsPage.dart", "Dart", 67, 0, 3, 70
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\HomePage.dart", "Dart", 39, 0, 3, 42
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\SettingsPage.dart", "Dart", 76, 0, 4, 80
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\SplashScreen.dart", "Dart", 31, 0, 3, 34
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Screens\TrailerPage.dart", "Dart", 44, 0, 3, 47
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\FilterPage\SettingsListTile.dart", "Dart", 39, 0, 2, 41
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\GamesDetails\DetailsSubTitle.dart", "Dart", 26, 0, 2, 28
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\GamesDetails\GameData.dart", "Dart", 50, 0, 3, 53
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\GamesDetails\GameDescription.dart", "Dart", 59, 0, 3, 62
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\GamesPage\GamesSubData.dart", "Dart", 27, 0, 2, 29
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\shared\CustomButton.dart", "Dart", 29, 0, 3, 32
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\shared\CustomCachedNetImage.dart", "Dart", 115, 6, 7, 128
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\shared\CustomRaido.dart", "Dart", 26, 0, 3, 29
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\shared\DialogButton.dart", "Dart", 43, 0, 2, 45
"d:\Programming\Flutter\flutter project\gamesbrowser\lib\view\Widgets\shared\GameCard.dart", "Dart", 84, 0, 4, 88
"Total", "-", 1996, 118, 170, 2284